序号,参数摘要,终审结论,对应功能/说明
2,编码智能适配 <!-- -->,待人工签认,
34,需支持按照规则类型、规则名称、规则分类、规则来源等维度进行规则查询。 规则库规则自定义,功能等效,科室组织树/菜单树/数据元分类
90,采集端支持录入病人信息，后续分析环节无需重复录入；,部分符合,对应业务登记能力已实现，字段级差异逐条比对
92,关键字查阅病人实时状态，亦可查阅病例的实时状态。 <!-- -->,待人工签认,
94,"分析软件部署在服务器上，支持WEB访问分析软件,不限制工作站点数量；",待人工签认,
110,提供多种图表辅助分析工具，包括趋势图、相关图、饼图、直方图、昼夜规律图、比较图等；,待人工签认,
130,支持局域网内远程管理，便于日常运行维护及故障处理；,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
131,软件兼容国产操作系统。 +-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,Java/浏览器技术栈天然跨平台（Linux/信创 OS 可部署，容器编排已备）
144,干预效果分析；,部分符合,CDSS 提醒留痕可统计，干预效果趋势为报表扩展
145,支持图表化展示实时干预效果（每小时更新）；,部分符合,CDSS 提醒留痕可统计，干预效果趋势为报表扩展
148,支持展示干预效果趋势图；,部分符合,CDSS 提醒留痕可统计，干预效果趋势为报表扩展
151,支持展示警示信息发生数药品前十名；,待人工签认,
164,"提供""心血管系统、呼吸系统、泌尿系统、内分泌系统、血液系统、肿瘤与应用、儿科学""7类医学相关计算公式的应用计算。 其他医药信息",待人工签认,
167,可查询国家卫健委和药品监督管理局发布的通知公告和法律法规。 自定义医院文献,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
182,通过采用警示级别的设置，实现按严重程度对审查出的不合理问题进行区分： <!-- -->,功能等效,CDSS FORBID/CAUTION 分级 + 危急值 HH/LL
198,实现儿童剂量多维度审查，儿童剂量符合参考标准中年龄和体重任一条件，均判断为合理的剂量；,待人工签认,
199,实现缓释片、控释片、肠溶片等对分剂量服用有特定要求的药品，其每次给药剂量是否为合理的可分剂量的审查；,待人工签认,
202,在门诊药嘱用药时，支持特定药品的用药疗程的管控，限制医生仅能在规定疗程内进行开药；,待人工签认,
213,对于必须先用注射用水稀释的注射剂，实现其同组药嘱中是否添加注射用水的审查。 特殊人群用药审查,待人工签认,
229,精、麻、毒、放、高危等药品的审查；,部分符合,抗菌分级管控+CDSS 已闭环，精麻毒放标识为 md_drug 字段扩展
273,支持多种样本抽取方式； > 门诊：,待人工签认,
274,提供全部抽取；,待人工签认,
275,提供随机按指定数量或百分比抽取；,待人工签认,
276,提供等间隔按指定数量抽取；,待人工签认,
278,提供按药品抽取，即当存在药品名称筛选条件时，支持按筛选药品指定数量抽取；,待人工签认,
280,提供全部抽取；,待人工签认,
281,提供随机按指定数量或百分比抽取；,待人工签认,
282,提供等间隔按指定数量抽取；,待人工签认,
284,提供按药品抽取，即当存在药品名称筛选条件时，支持按筛选药品指定数量抽取；,待人工签认,
285,提供按医生抽取，即当存在医生筛选条件时，支持按筛选医生指定数量或百分比抽取样本；,待人工签认,
286,提供按病区、医疗组、主管医生抽取，即当存在主管医生筛选条件时，支持按指定数量或百分比抽取病区、医疗组、主管医生，每个病区、医疗组、主管医生指定数量或百分比的样本；,待人工签认,
287,支持多方案抽取，在单项目中新增多个抽取方案，每个方案对应一份抽取条件，多份条件逐一抽取；,归配套产品,处方点评多方案抽样属商用点评产品参数
304,支持点击药品后，右侧警示信息栏只显示该药品相关的警示信息；,待人工签认,
361,门诊基本药物使用情况汇总；,部分符合,药事分析已有全院/中西药/DDD/月度经费，增长率与基药标记为报表扩展
362,门诊省基本药物使用情况汇总；,部分符合,药事分析已有全院/中西药/DDD/月度经费，增长率与基药标记为报表扩展
376,门诊质子泵抑制剂使用情况汇总；,待人工签认,
380,门诊中药使用情况汇总；,部分符合,药事分析已有全院/中西药/DDD/月度经费，增长率与基药标记为报表扩展
399,全院药品使用分析；,待人工签认,
400,门诊药品用量分析；,待人工签认,
402,门诊药品金额分析；,待人工签认,
410,门诊用药适宜性分析；,部分符合,CDSS 提醒留痕可统计，干预效果趋势为报表扩展
411,门诊用药适宜性一览表；,待人工签认,
418,全院药品使用排名；,待人工签认,
422,门诊药费增长分析表；,部分符合,药事分析已有全院/中西药/DDD/月度经费，增长率与基药标记为报表扩展
425,医疗机构一般情况调查；,待人工签认,
440,门诊抗肿瘤药物临床使用情况汇总；,待人工签认,
449,全院药品使用情况分析；,待人工签认,
456,全院药品使用分析（含在院）；,待人工签认,
458,全院药品使用情况分析（含在院）；,待人工签认,
494,支持在药师审核任务时，展示干预阶段医生预先填写的特别用药理由。,待人工签认,
501,支持系统审查结果快速跳转到规则设置页面。,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
505,支持设置药师最大接收任务数；,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
524,支持药师已收藏案例的筛选查看；,待人工签认,
567,支持Android4.4及以上版本，iOS8.0及以上版本，鸿蒙等操作系统。,待人工签认,
574,支持算法标准：SM2、SM3。,待人工签认,
576,提供时间源管理。,待人工签认,
581,支持通过管理界面进行应用管理、证书管理、系统配置以及日志查询等管理操作，支持通过web管理页面直接升级系统。,功能等效,系统管理（用户/角色/配置/审计）齐备
589,支持自定义证书扩展域管理；,待人工签认,
593,支持自定义证书扩展域管理；,待人工签认,
600,能够按需免费扩展，无接入通讯点数量限制。,待人工签认,
604,通过参数而非编程的方式，能够对接各类异构信息系统而无论其底层技术栈何种技术，如JMS、Web服务功能、JDBC、HTTP、File、FTP、及其它等80多种协议。,待人工签认,
605,拥有多种协议转换的转换器（Transformer），如httpTransformer。,归配套产品,重型格式转换器属 ESB 产品，平台已有 HL7 解析+CDA 输出
606,拥有文件格式适配的转换器（Transformer）。如：xml格式适配json格式，能够多种文件格式适配，xml格式适配String格式等。,归配套产品,重型格式转换器属 ESB 产品，平台已有 HL7 解析+CDA 输出
607,准许通过XSLT能够予以完成对XML格式的转换，能够XML标准定义。,待人工签认,
610,能够对已有功能业务流程的重新编排，然后组合生成新的业务流程。,待人工签认,
611,能够如下主流数据资料存储的对接，MySql、SqlServer、Oracle等。,部分符合,平台采用 PostgreSQL，JPA/JDBC 层具备主流库可迁移性（技术路线说明响应）
612,其他数据资料库连接能够采用自定义方式连接。,待人工签认,
613,能够HTTP协议与HTTPS安全稳定能够靠能够靠协议组件。,功能等效,HTTP/HTTPS 服务化接口 + MLLP/TCP + 文件/DB 适配器
620,能够显示企业级服务功能总线信息系统架构的监测结果，包括服务功能器系统资源情况、Flow（服务功能业务流程）情况监测、部署情况监测。,待人工签认,
