序号,实质性★,重要▲,参数摘要,响应结论,响应说明
1,,,根据用户职责权限提供医保结算清单质控、修改、标记、上传及病例入组、盈亏排名及业务整体情况，提供清单未标记、质控未通过、可优化病例、超高/超低/未入组等情况汇总和一键直达相应功能并处理等功能。 <!-- -->,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
2,,,编码智能适配 <!-- -->,配套产品响应,【二级证据评审建议，待项目组签字】病案编码智能辅助属编码产品；平台 ICD 检索+DRG 入组已备
3,,,医生AI小助手 <!-- -->,部分响应,平台当前提供管理端 DRG 分析功能（病组指标、入组明细、科室 CMI 对比），面向医院管理与病案质控人员。本条所述嵌入医生工作站、面向临床医生的 DRG 智能助手载体（含其下编码质控提醒、病组标杆提示、智能分组推荐等能力）当前版本未提供，列入后续开发计划。
4,,,编码质控提醒：为医生提供编码质控服务，及时提醒医生编码中存在的问题，以保证入组率及入组准确率；,部分响应,平台当前提供病案室工作队列，可逐份列出出院病历的完整性缺项清单，供病案室人员核对补录。本条所述面向医生的编码质控提醒（在医生端实时提示编码问题、以保障 DRG 入组率与入组准确率）尚未提供，列入后续开发计划。
5,,,病组标杆提示：基于DRG入组预测结果，为医师提示乐山地区同等级医院该DRG病组费用标杆作为医生参考，包括但不限于次均费用、平均住院天数、药占比、耗占比等；,外部条件,平台 DRG 分析提供按病组权重与院内设定费率计算的标杆支付额及结余对比。本条所述乐山地区同等级医院各 DRG 病组的次均费用、平均住院天数、药占比、耗占比等区域标杆值，属医保部门下发数据，须由医保部门提供后导入使用；平台的区域标杆数据导入与医生端标杆提示功能列入后续开发计划。
6,,,智能分组推荐：结合本地DRG付费政策规范，提供该病例除当前所入DRG组外其它可能入组情况，并根据诊疗过程数据进行该病例DRG入组推荐；,部分响应,平台 DRG 分析提供基于主诊断与手术标记的自动入组，每例给出所入病组、权重与标杆支付。本条所述结合本地 DRG 付费政策规范列出其它可能入组情况、并依据诊疗过程数据进行入组推荐的功能尚未提供，列入后续开发计划；本地付费政策的正式分组目录需医保部门下发后配置。
7,,,病案首页质控：展示当前病例的首页质控汇总结果及扣分项明细等信息；,正偏离/无偏离,由病案首页页面「病案质控」区块提供：展示当前病例的病案质控评分单汇总（总分、等级、扣分合计、评审人、评审时间）及扣分项明细（项目、分值、来源为自动或人工）；对尚未评分的病例，自动展示病历完整性缺项预览供医生参考。
8,,,结算清单质控：模拟生成医保结算清单并按照国家和地方清单质控规则进行分析，展示清单存在的基础问题、编码问题或逻辑问题明细等。 <!-- -->,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
9,,,DRG盈亏预警：实时监测全院各科室接诊病例医保支付逆差情况，并以不同颜色对各科室逆差严重程度进行梯次预警；,部分响应,平台 DRG 分析在病组与病例两个层级提供结余正负的红绿标识，并提供科室维度的入组例数、总权重、CMI、次均费用统计。本条所述按科室实时监测医保支付逆差、并以颜色梯次预警各科室逆差严重程度的功能尚未提供，列入后续开发计划。
10,,,DRG入组管理：展示全院病例入组情况，支持对未入组病例及原因进行分析，支持全院入组、未入组病例关键指标的同环比分析；,部分响应,已提供：DRG 分析展示全院入组例数与未入组数、入组明细逐例列表，支持批量入组、重新入组与单例重算。尚未提供：(1) 未入组病例的原因分析（当前未入组病例统一标记为歧义病例，不区分具体原因）；(2) 入组、未入组病例关键指标的同比、环比分析（当前无统计周期参数）。上述缺项列入后续开发计划。
11,,,DRG病组管理：提供对全院各科室病组覆盖、病组构成及所有病组的重要指标（如CMI、权重、时间/费用消耗指数等）的对比分析等，支持导出信息为Excel文件；,部分响应,已提供：DRG 分析按病组汇总例数、次均费用、平均住院日、CMI、权重、费用消耗指数、时间消耗指数、标杆支付与结余，指数超标自动标红；科室维度提供例数、总权重、CMI、次均费用对比。尚未提供：(1) 各科室病组覆盖情况（科室覆盖的病组清单与组数）；(2) DRG 分析结果导出 Excel。上述缺项列入后续开发计划。
12,,,DRG分组控费：按照医保DRG分组政策支付标准，分别从全院、科室、医师、病种等角度对费用情况展开分析，分析维度包括总费用、例均费用、自费比例、费用消耗、区域DRG标杆、逆差测算、控费区间等；,外部条件,需医保局/省平台等外部环境开通后联调
13,,,非正常病例分析：提供从年度、月度及单个病例等角度，对全院各科室高倍率、低倍率、异常病例的构成情况、变化趋势以及病例指标进行对比分析；,部分响应,已提供：DRG 入组明细按实际费用与标杆支付比值逐例判定并标注高倍率、低倍率、正常病例。尚未提供：(1) 年度、月度周期维度的查询与统计；(2) 高低倍率及异常病例的构成情况与变化趋势分析；(3) 各科室之间的非正常病例对比分析。上述缺项列入后续开发计划。
