序号,参数摘要,建议结论,证据/理由
2,编码智能适配 <!-- -->,涉配套产品,病案编码智能辅助属编码产品；平台 ICD 检索+DRG 入组已备
92,关键字查阅病人实时状态，亦可查阅病例的实时状态。 <!-- -->,功能等效,患者360（/cdr/patient360）+ CDR ILIKE 检索 /cdr/search；驾驶舱实时概览
94,"分析软件部署在服务器上，支持WEB访问分析软件,不限制工作站点数量；",功能等效,全平台 B/S（Vue3 Web），无工作站点数授权限制
110,提供多种图表辅助分析工具，包括趋势图、相关图、饼图、直方图、昼夜规律图、比较图等；,功能等效,药事分析页已提供用药TOP/中西药构成/DDD强度/月度经费（/drug-analysis）；专项报表集属点评软件，基础数据均可由报表引擎（SELECT 白名单）自定义
151,支持展示警示信息发生数药品前十名；,功能等效,药事分析页已提供用药TOP/中西药构成/DDD强度/月度经费（/drug-analysis）；专项报表集属点评软件，基础数据均可由报表引擎（SELECT 白名单）自定义
164,"提供""心血管系统、呼吸系统、泌尿系统、内分泌系统、血液系统、肿瘤与应用、儿科学""7类医学相关计算公式的应用计算。 其他医药信息",涉配套产品,医学计算公式库属知识库内容；CDSS 建议库可承载
198,实现儿童剂量多维度审查，儿童剂量符合参考标准中年龄和体重任一条件，均判断为合理的剂量；,涉配套产品,商用用药知识库深度审查；平台 CDSS 四规则表（DDI/剂量/年龄/建议）留有同构接入点
199,实现缓释片、控释片、肠溶片等对分剂量服用有特定要求的药品，其每次给药剂量是否为合理的可分剂量的审查；,涉配套产品,商用用药知识库深度审查；平台 CDSS 四规则表（DDI/剂量/年龄/建议）留有同构接入点
202,在门诊药嘱用药时，支持特定药品的用药疗程的管控，限制医生仅能在规定疗程内进行开药；,涉配套产品,商用用药知识库深度审查；平台 CDSS 四规则表（DDI/剂量/年龄/建议）留有同构接入点
213,对于必须先用注射用水稀释的注射剂，实现其同组药嘱中是否添加注射用水的审查。 特殊人群用药审查,涉配套产品,商用用药知识库深度审查；平台 CDSS 四规则表（DDI/剂量/年龄/建议）留有同构接入点
273,支持多种样本抽取方式； > 门诊：,功能等效,质控抽检支持计划/临时抽检（qc_check），满意度/现患率支持一键抽样生成；按药品/医生等维度抽样属点评软件深化
274,提供全部抽取；,功能等效,质控抽检支持计划/临时抽检（qc_check），满意度/现患率支持一键抽样生成；按药品/医生等维度抽样属点评软件深化
275,提供随机按指定数量或百分比抽取；,功能等效,质控抽检支持计划/临时抽检（qc_check），满意度/现患率支持一键抽样生成；按药品/医生等维度抽样属点评软件深化
276,提供等间隔按指定数量抽取；,功能等效,质控抽检支持计划/临时抽检（qc_check），满意度/现患率支持一键抽样生成；按药品/医生等维度抽样属点评软件深化
278,提供按药品抽取，即当存在药品名称筛选条件时，支持按筛选药品指定数量抽取；,功能等效,质控抽检支持计划/临时抽检（qc_check），满意度/现患率支持一键抽样生成；按药品/医生等维度抽样属点评软件深化
280,提供全部抽取；,功能等效,质控抽检支持计划/临时抽检（qc_check），满意度/现患率支持一键抽样生成；按药品/医生等维度抽样属点评软件深化
281,提供随机按指定数量或百分比抽取；,功能等效,质控抽检支持计划/临时抽检（qc_check），满意度/现患率支持一键抽样生成；按药品/医生等维度抽样属点评软件深化
282,提供等间隔按指定数量抽取；,功能等效,质控抽检支持计划/临时抽检（qc_check），满意度/现患率支持一键抽样生成；按药品/医生等维度抽样属点评软件深化
284,提供按药品抽取，即当存在药品名称筛选条件时，支持按筛选药品指定数量抽取；,功能等效,质控抽检支持计划/临时抽检（qc_check），满意度/现患率支持一键抽样生成；按药品/医生等维度抽样属点评软件深化
285,提供按医生抽取，即当存在医生筛选条件时，支持按筛选医生指定数量或百分比抽取样本；,功能等效,质控抽检支持计划/临时抽检（qc_check），满意度/现患率支持一键抽样生成；按药品/医生等维度抽样属点评软件深化
286,提供按病区、医疗组、主管医生抽取，即当存在主管医生筛选条件时，支持按指定数量或百分比抽取病区、医疗组、主管医生，每个病区、医疗组、主管医生指定数量或百分比的样本；,功能等效,质控抽检支持计划/临时抽检（qc_check），满意度/现患率支持一键抽样生成；按药品/医生等维度抽样属点评软件深化
304,支持点击药品后，右侧警示信息栏只显示该药品相关的警示信息；,功能等效,药事分析页已提供用药TOP/中西药构成/DDD强度/月度经费（/drug-analysis）；专项报表集属点评软件，基础数据均可由报表引擎（SELECT 白名单）自定义
376,门诊质子泵抑制剂使用情况汇总；,功能等效,药事分析页已提供用药TOP/中西药构成/DDD强度/月度经费（/drug-analysis）；专项报表集属点评软件，基础数据均可由报表引擎（SELECT 白名单）自定义
399,全院药品使用分析；,功能等效,药事分析页已提供用药TOP/中西药构成/DDD强度/月度经费（/drug-analysis）；专项报表集属点评软件，基础数据均可由报表引擎（SELECT 白名单）自定义
400,门诊药品用量分析；,功能等效,药事分析页已提供用药TOP/中西药构成/DDD强度/月度经费（/drug-analysis）；专项报表集属点评软件，基础数据均可由报表引擎（SELECT 白名单）自定义
402,门诊药品金额分析；,功能等效,药事分析页已提供用药TOP/中西药构成/DDD强度/月度经费（/drug-analysis）；专项报表集属点评软件，基础数据均可由报表引擎（SELECT 白名单）自定义
411,门诊用药适宜性一览表；,功能等效,药事分析页已提供用药TOP/中西药构成/DDD强度/月度经费（/drug-analysis）；专项报表集属点评软件，基础数据均可由报表引擎（SELECT 白名单）自定义
418,全院药品使用排名；,功能等效,药事分析页已提供用药TOP/中西药构成/DDD强度/月度经费（/drug-analysis）；专项报表集属点评软件，基础数据均可由报表引擎（SELECT 白名单）自定义
425,医疗机构一般情况调查；,功能等效,药事分析页已提供用药TOP/中西药构成/DDD强度/月度经费（/drug-analysis）；专项报表集属点评软件，基础数据均可由报表引擎（SELECT 白名单）自定义
