序号,桶,桶名,现结论,主题,建议处置,命中规则,在正式名单内,参数摘要
163,A,A 知识内容类——应改判「配套产品响应」,部分响应,其他,改判为配套产品响应（平台提供承载框架与执行机制，知识内容由知识库厂商提供并导入）,参数摘要命中「药物手册」,是,支持药物手册的查看和批量导出操作。 医药学公式
167,A,A 知识内容类——应改判「配套产品响应」,部分响应,药事与药房,改判为配套产品响应（平台提供承载框架与执行机制，知识内容由知识库厂商提供并导入）,参数摘要命中「文献」,否,可查询国家卫健委和药品监督管理局发布的通知公告和法律法规。 自定义医院文献
168,A,A 知识内容类——应改判「配套产品响应」,部分响应,权限审计与系统运维,改判为配套产品响应（平台提供承载框架与执行机制，知识内容由知识库厂商提供并导入）,参数摘要命中「文献」,是,支持用户自定义维护文献、杂志，参考文献等内容；
207,A,A 知识内容类——应改判「配套产品响应」,部分响应,其他,改判为配套产品响应（平台提供承载框架与执行机制，知识内容由知识库厂商提供并导入）,参数摘要命中「乌头碱」,是,含有2个或2个以上乌头碱的中成药（如：虎力散制剂、强力天麻杜仲制剂、祛风止痛制剂、尪痹制剂、复方夏天无片等）进行相互作用的审查，提示可能存在毒性反应；
209,A,A 知识内容类——应改判「配套产品响应」,部分响应,门急诊与住院业务,改判为配套产品响应（平台提供承载框架与执行机制，知识内容由知识库厂商提供并导入）,参数摘要命中「药物治疗分类」,是,实现可根据不同药品名称、或药品成分在实际用药中重复治疗的审查，重复治疗审查提示处方/医嘱中的两个或多个药品（带给药途径）同属某个药物治疗分类（即具有同一种治疗目
228,A,A 知识内容类——应改判「配套产品响应」,部分响应,门急诊与住院业务,改判为配套产品响应（平台提供承载框架与执行机制，知识内容由知识库厂商提供并导入）,参数摘要命中「作用机制」,是,实现处方/医嘱中是否存在作用机制相同药品重复应用的审查（同重复用药）；
993,A,A 知识内容类——应改判「配套产品响应」,部分响应,护理与病历文书,改判为配套产品响应（平台提供承载框架与执行机制，知识内容由知识库厂商提供并导入）,参数摘要命中「知识库」,是,拥有诊断库、电子病历模板库等知识库的支撑。 +---------------------------------------------------------
131,B,B 非软件条款——出函或澄清，非开发项,部分响应,其他,出具承诺函/测试报告/厂商规格书，或改判配套产品响应,参数摘要命中「国产操作系统」,是,软件兼容国产操作系统。 +-------------------------------+-----------------------------------
629,B,B 非软件条款——出函或澄清，非开发项,部分响应,数据治理与报表指标,出具承诺函/测试报告/厂商规格书，或改判配套产品响应,参数摘要命中「ClickHouse」,是,结合医院实际业务形态、业务场景特点及各类数据分析指标的核心要求，构建符合大数据标准的规范化仓库模型，所有模型数据均采用经过前置清洗、转换处理后的合规数据，并统一
54,C,C 设计选择被判缺项——宜写澄清而非降级,部分响应,权限审计与系统运维,写澄清：以停用+审计留痕替代物理删除，是更合规的设计选择，非功能缺失,参数摘要命中「删除用户」,是,可实现添加用户、删除用户、停用用户等操作。 权限管理 可实现页面权限管理、操作权限管理、数据权限管理等操作。 +------------------------
