序号,实质性★,重要▲,参数摘要,响应结论,响应说明
1,,,根据用户职责权限提供医保结算清单质控、修改、标记、上传及病例入组、盈亏排名及业务整体情况，提供清单未标记、质控未通过、可优化病例、超高/超低/未入组等情况汇总和一键直达相应功能并处理等功能。 <!-- -->,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
2,,,编码智能适配 <!-- -->,待复核,初评未匹配，须项目组逐条人工确认
3,,,医生AI小助手 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
4,,,编码质控提醒：为医生提供编码质控服务，及时提醒医生编码中存在的问题，以保证入组率及入组准确率；,正偏离/无偏离,平台已实现（详见对应功能模块）
5,,,病组标杆提示：基于DRG入组预测结果，为医师提示乐山地区同等级医院该DRG病组费用标杆作为医生参考，包括但不限于次均费用、平均住院天数、药占比、耗占比等；,正偏离/无偏离,平台已实现（详见对应功能模块）
6,,,智能分组推荐：结合本地DRG付费政策规范，提供该病例除当前所入DRG组外其它可能入组情况，并根据诊疗过程数据进行该病例DRG入组推荐；,正偏离/无偏离,平台已实现（详见对应功能模块）
7,,,病案首页质控：展示当前病例的首页质控汇总结果及扣分项明细等信息；,正偏离/无偏离,平台已实现（详见对应功能模块）
8,,,结算清单质控：模拟生成医保结算清单并按照国家和地方清单质控规则进行分析，展示清单存在的基础问题、编码问题或逻辑问题明细等。 <!-- -->,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
9,,,DRG盈亏预警：实时监测全院各科室接诊病例医保支付逆差情况，并以不同颜色对各科室逆差严重程度进行梯次预警；,正偏离/无偏离,平台已实现（详见对应功能模块）
10,,,DRG入组管理：展示全院病例入组情况，支持对未入组病例及原因进行分析，支持全院入组、未入组病例关键指标的同环比分析；,正偏离/无偏离,平台已实现（详见对应功能模块）
11,,,DRG病组管理：提供对全院各科室病组覆盖、病组构成及所有病组的重要指标（如CMI、权重、时间/费用消耗指数等）的对比分析等，支持导出信息为Excel文件；,正偏离/无偏离,平台已实现（详见对应功能模块）
12,,,DRG分组控费：按照医保DRG分组政策支付标准，分别从全院、科室、医师、病种等角度对费用情况展开分析，分析维度包括总费用、例均费用、自费比例、费用消耗、区域DRG标杆、逆差测算、控费区间等；,外部条件,需医保局/省平台等外部环境开通后联调
